,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
3086,13-31-7035-46,13-058,7,264,colegio privado mixto el nuevo milenio,canton reforma,['45584602'],carlos heriberto estrada anzueto,aracely adelaida tomas lapez,0,3,2,CERRADA TEMPORALMENTE,1,5,1,HUEHUETENANGO
3087,13-32-0017-46,13-008,7,318,liceo privado mixto davinci,canton buenos aires,['53349884'],roberto raymundo juan,iliana judith velasquez marida,0,3,2,ABIERTA,1,5,1,HUEHUETENANGO
3088,13-32-0021-46,13-008,7,318,instituto privado de educacion media valenton union cantinil,aldea valenton,['32458282'],roberto raymundo juan,delfi dorian cano chavez,0,3,0,CERRADA TEMPORALMENTE,1,5,1,HUEHUETENANGO
3089,13-32-0024-46,13-008,7,318,colegio privado mixto genesis,union cantinil,['49493710'],roberto raymundo juan,wilson gonzales velasquez,0,3,2,CERRADA TEMPORALMENTE,1,0,3,HUEHUETENANGO
3090,13-32-0035-46,13-008,7,318,instituto nacional de educacian diversificada,cantan central,['30054591'],roberto raymundo juan,geiser darinel carrillo leiva,0,2,2,ABIERTA,1,2,1,HUEHUETENANGO
3091,13-32-0041-46,13-008,7,318,instituto privado mixto de lean,"caserao cuatro caminos, aldea la tejera",['45283511'],roberto raymundo juan,egidio roberto lacas de lean,0,3,0,ABIERTA,1,5,1,HUEHUETENANGO
3092,13-32-7022-46,13-008,7,318,instituto privado mixto de educacion media buenos aires,caserio el carmen aldea cantinil,['33048963'],roberto raymundo juan,dinora mariadolores herrera vargas,0,3,0,ABIERTA,1,5,1,HUEHUETENANGO
3093,13-32-7023-46,13-008,7,318,colegio parroquial monse%or andres giron,aldea tajumuco,['50579713'],roberto raymundo juan,anastacia damacia saucedo velasquez,0,3,0,CERRADA TEMPORALMENTE,1,5,1,HUEHUETENANGO
3094,13-33-0015-46,13-061,7,142,instituto nacional de educacian diversificada petatan,cantan san sebastian,['49166849'],josa de jesas camposeco mendoza,leiver indalecio lapez recinos,0,2,2,ABIERTA,1,2,1,HUEHUETENANGO
3097,22-01-0014-46,22-013,10,91,escuela nacional de ciencias comerciales,"complejo educativo, barrio el condor",['78441241'],rony esmeltzer ramos quiaonez,mirza elizabeth aragan polanco,0,2,2,ABIERTA,1,2,1,JUTIAPA
3098,22-01-0015-46,,10,91,instituto privado mixto de educacion diversificada colegio moderno jutiapaneco,3a. avenida 4-66 zona 1,,,,0,3,2,CERRADA TEMPORALMENTE,1,5,1,JUTIAPA
3099,22-01-0017-46,22-003,10,91,colegio tecnico profesional san cristobal,7a. calle 5-30 zona 1,['78441530'],remberto recinos sarceao,delmy astrid mandez polanco,0,3,2,ABIERTA,1,5,1,JUTIAPA
3100,22-01-0019-46,22-001,10,91,instituto tecnico particular de diversificado -intecpadi-,"5a. calle 5-43, zona 1",['78442296'],cecilia isabel aldecoa casasola de castro,roni ernesto recinos estrada,0,3,2,ABIERTA,1,5,1,JUTIAPA
3101,22-01-0020-46,22-001,10,91,colegio particular mixto de magisterio,1a. avenida 4-64 zona 1,['78442157'],cecilia isabel aldecoa casasola de castro,israel josua vasquez,0,3,2,ABIERTA,1,5,1,JUTIAPA
3102,22-01-0022-46,22-037,10,91,instituto privado mixto de educacion diversificada de mercadotecnia y publicidad de oriente,5a. av. 7-35 zona 1,['78441530'],sandra ninneth bonilla archila,jorge mario aguilar retana,0,3,2,ABIERTA,1,0,3,JUTIAPA
3103,22-01-0221-46,22-009,10,91,colegio particular mixto integral evolucion,7a. calle 8a. avenida 7-49 zona 3 barrio el chaparron,['78443090'],gaudy yadira isabel ixchop ambrocio,mildred esperanza villanueva de florian,0,3,2,CERRADA TEMPORALMENTE,1,5,1,JUTIAPA
3104,22-01-0222-46,22-001,10,91,colegio particular mixto integral evolucion,7a. calle 8a. avenida 7-49 zona 3 barrio el chaparron,['57313172'],cecilia isabel aldecoa casasola de castro,miguel angel martinez de la vega,0,3,2,ABIERTA,1,0,3,JUTIAPA
3105,22-01-0254-46,22-001,10,91,liceo crezco aprendiendo,"7a. calle entre 6a. y 7a. avenida zona 3, barrio el chaparron",['78442263'],cecilia isabel aldecoa casasola de castro,cindy violeta mansilla arroyo,0,3,2,ABIERTA,1,5,1,JUTIAPA
3106,22-01-0255-46,22-001,10,91,colegio particular mixto de magisterio,1ra. avenida 4-64 zona 1,['78442157'],cecilia isabel aldecoa casasola de castro,jorge omar vasquez lean,0,3,2,ABIERTA,1,5,1,JUTIAPA
3107,22-01-0256-46,22-007,10,91,escuela de estudios penitenciarios,"3era. brigada militar de infanteria, aldea cerro gordo",,wilmer obed ramirez linares,julio martin castellanos peaa,0,3,0,CERRADA TEMPORALMENTE,1,0,3,JUTIAPA
3108,22-01-0261-46,22-001,10,91,colegio particular mixto el pilar,5ta. calle 5-09 zona 1,['78446397'],cecilia isabel aldecoa casasola de castro,manuel estuardo valdaz paz,0,3,2,ABIERTA,1,5,1,JUTIAPA
3109,22-01-0262-46,22-001,10,91,liceo jutiapa,4ta. calle 1-53 zona 1,['78441008'],cecilia isabel aldecoa casasola de castro,alvaro cisneros quiaonez,0,3,2,ABIERTA,1,5,1,JUTIAPA
3110,22-01-0270-46,22-003,10,91,colegio el bosque,aldea el chiltepe,['78442277'],remberto recinos sarceao,ingrid carol juarez dominguez,0,3,0,ABIERTA,1,2,1,JUTIAPA
3111,22-01-0275-46,22-001,10,91,instituto tecnologico bilingue,9a. ave. 7-59 zona 1,['78442338'],cecilia isabel aldecoa casasola de castro,osiel dionicio vivar,0,3,2,ABIERTA,1,2,1,JUTIAPA
